Stack id,Question Title,Question Link,Number of Upvotes,Date Created,Views,Last Active
1,Q: Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2,http://stackoverflow.com/questions/47068709/your-cpu-supports-instructions-that-this-tensorflow-binary-was-not-compiled-to-u?r=SearchResults,513,"1 year, 8 months ago",1 month ago,367k
2,Q: TensorFlow not found using pip,http://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip?r=SearchResults,463,"2 years, 11 months ago",2 months ago,517k
3,Q: Tensorflow: how to save/restore a model?,http://stackoverflow.com/questions/33759623/tensorflow-how-to-save-restore-a-model?r=SearchResults,486,"3 years, 8 months ago",yesterday,299k
4,Q: How to compile Tensorflow with SSE4.2 and AVX instructions?,http://stackoverflow.com/questions/41293077/how-to-compile-tensorflow-with-sse4-2-and-avx-instructions?r=SearchResults,257,"2 years, 7 months ago",26 days ago,212k
5,Q: How to tell if tensorflow is using gpu acceleration from inside python shell?,http://stackoverflow.com/questions/38009682/how-to-tell-if-tensorflow-is-using-gpu-acceleration-from-inside-python-shell?r=SearchResults,205,"3 years, 1 month ago",24 days ago,296k
6,A: TensorFlow not found using pip,http://stackoverflow.com/questions/38896424/tensorflow-not-found-using-pip/42596864?r=SearchResults#42596864,463,"2 years, 11 months ago",2 months ago,517k
7,A: Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX AVX2,http://stackoverflow.com/questions/47068709/your-cpu-supports-instructions-that-this-tensorflow-binary-was-not-compiled-to-u/47227886?r=SearchResults#47227886,513,"1 year, 8 months ago",1 month ago,367k
8,Q: Disable Tensorflow debugging information,http://stackoverflow.com/questions/35911252/disable-tensorflow-debugging-information?r=SearchResults,111,"3 years, 4 months ago",3 months ago,69k
9,"Q: In TensorFlow, what is the difference between Session.run() and Tensor.eval()?",http://stackoverflow.com/questions/33610685/in-tensorflow-what-is-the-difference-between-session-run-and-tensor-eval?r=SearchResults,183,"3 years, 8 months ago",4 months ago,97k
10,Q: How to get current available GPUs in tensorflow?,http://stackoverflow.com/questions/38559755/how-to-get-current-available-gpus-in-tensorflow?r=SearchResults,114,3 years ago,1 month ago,131k
11,Q: How to print the value of a Tensor object in TensorFlow?,http://stackoverflow.com/questions/33633370/how-to-print-the-value-of-a-tensor-object-in-tensorflow?r=SearchResults,218,"3 years, 8 months ago",27 days ago,309k
12,Q: How to prevent tensorflow from allocating the totality of a GPU memory?,http://stackoverflow.com/questions/34199233/how-to-prevent-tensorflow-from-allocating-the-totality-of-a-gpu-memory?r=SearchResults,228,"3 years, 7 months ago",1 month ago,117k
13,Q: What is the meaning of the word logits in TensorFlow?,http://stackoverflow.com/questions/41455101/what-is-the-meaning-of-the-word-logits-in-tensorflow?r=SearchResults,160,"2 years, 6 months ago",28 days ago,68k
14,Q: What is the difference between 'SAME' and 'VALID' padding in tf.nn.max_pool of tensorflow?,http://stackoverflow.com/questions/37674306/what-is-the-difference-between-same-and-valid-padding-in-tf-nn-max-pool-of-t?r=SearchResults,241,"3 years, 1 month ago",30 days ago,176k
15,Q: How to run Tensorflow on CPU,http://stackoverflow.com/questions/37660312/how-to-run-tensorflow-on-cpu?r=SearchResults,91,"3 years, 1 month ago",1 month ago,97k
16,Q: What's the purpose of tf.app.flags in TensorFlow?,http://stackoverflow.com/questions/33932901/whats-the-purpose-of-tf-app-flags-in-tensorflow?r=SearchResults,99,"3 years, 8 months ago",8 months ago,53k
